City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Guerrero Negro,MX,27.9769,-114.0611,58.87,80,19,10.29,few clouds
79,Avarua,CK,-21.2078,-159.775,78.85,83,75,2.3,light rain
80,Palmer,US,42.1584,-72.3287,41.41,79,100,0.0,overcast clouds
81,Barahona,DO,18.2085,-71.1008,72.99,86,1,0.25,clear sky
82,Dori,BF,14.0354,-0.0345,62.78,29,11,12.06,few clouds
83,Loyga,RU,61.0784,44.6075,-4.07,100,99,2.15,overcast clouds
84,Curuca,BR,-0.7289,-47.8481,73.83,95,99,2.77,overcast clouds
85,Castro,BR,-24.7911,-50.0119,59.58,99,13,6.62,few clouds
86,Marsa Matruh,EG,31.3525,27.2453,61.12,73,9,5.7,clear sky
87,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,0,11.5,clear sky
88,Luwuk,ID,-0.9516,122.7875,85.14,71,100,1.34,overcast clouds
89,Nome,US,64.5011,-165.4064,8.67,78,100,10.36,overcast clouds
90,Kaitangata,NZ,-46.2817,169.8464,55.76,59,18,6.71,few clouds
91,Kahului,US,20.8947,-156.47,76.84,74,100,5.75,overcast clouds
92,Dikson,RU,73.5069,80.5464,-15.18,98,100,19.77,overcast clouds
93,Hongjiang,CN,27.11,109.9956,53.85,42,11,3.18,few clouds
94,Kachug,RU,53.9606,105.8817,4.6,83,44,2.3,scattered clouds
95,Manono,CD,-7.3,27.4167,67.98,98,100,1.79,light rain
96,Ostrovnoy,RU,68.0531,39.5131,16.34,89,13,15.08,few clouds
97,Coihaique,CL,-45.5752,-72.0662,49.95,57,0,4.61,clear sky
98,Batagay-Alyta,RU,67.8006,130.4114,-31.77,92,64,5.84,broken clouds
99,Nikolskoye,RU,59.7035,30.7861,30.09,97,100,8.88,snow
100,Alofi,NU,-19.0595,-169.9187,82.29,83,75,3.44,light rain
101,Dingle,PH,10.9995,122.6711,83.98,75,100,8.46,overcast clouds
102,Floro,NO,61.5996,5.0328,42.76,75,75,19.57,light intensity shower rain
103,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,75,6.91,broken clouds
104,Bredasdorp,ZA,-34.5322,20.0403,64.24,47,95,16.98,overcast clouds
105,Verkh-Usugli,RU,52.7,115.1667,12.38,73,41,6.29,scattered clouds
106,Ornes,NO,66.8689,13.7078,30.67,76,99,14.72,overcast clouds
107,Ambilobe,MG,-13.2,49.05,78.4,75,75,2.44,broken clouds
108,Thompson,CA,55.7435,-97.8558,5.16,85,100,5.75,light snow
109,Springdale,US,36.1867,-94.1288,53.49,56,0,4.61,clear sky
110,Airai,TL,-8.9266,125.4092,66.7,81,100,6.13,overcast clouds
111,Kutum,SD,14.2,24.6667,50.31,37,3,8.08,clear sky
112,Jiuquan,CN,39.7432,98.5174,24.58,39,96,2.71,overcast clouds
113,Cockburn Town,TC,21.4612,-71.1419,78.55,76,1,22.3,clear sky
114,Cidreira,BR,-30.1811,-50.2056,65.86,75,0,8.93,clear sky
115,Komsomolskiy,UZ,40.4272,71.7189,38.12,75,75,2.3,mist
116,Sitka,US,57.0531,-135.33,44.49,53,100,20.71,light rain
117,Tasiilaq,GL,65.6145,-37.6368,6.96,71,9,5.37,clear sky
118,Pangnirtung,CA,66.1451,-65.7125,-13.0,77,100,9.22,light snow
119,Tierralta,CO,8.1736,-76.0592,73.71,96,23,3.18,few clouds
