City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Dzaoudzi,YT,76.89,light rain,-12.7887,45.2699,2.0 hôtel
355,Lima,PE,72.9,broken clouds,-12.0432,-77.0282,Hotel Peach Garden
360,Sao Manuel,BR,64.81,broken clouds,-22.7311,-48.5706,Florenza Palace Hotel
363,Touros,BR,77.68,clear sky,-5.1989,-35.4608,Pousada Atlântico
368,Puerto Escondido,MX,75.38,overcast clouds,15.85,-97.0667,Hotel Barlovento
369,Pisco,PE,68.05,overcast clouds,-13.7,-76.2167,La Portada
370,Badulla,LK,75.74,overcast clouds,6.9895,81.0557,Hela Bojun
377,Saquarema,BR,72.07,overcast clouds,-22.92,-42.5103,Pousada Garota de Itaúna
380,Basco,PH,74.82,overcast clouds,20.4487,121.9702,Tawsen Hotel
381,Sao Filipe,CV,71.73,scattered clouds,14.8961,-24.4956,Bela Vista
382,San Rafael,AR,75.22,clear sky,-34.6177,-68.3301,Hotel Regional
391,Port Shepstone,ZA,65.57,overcast clouds,-30.7414,30.455,The Spot Backpackers'
397,Calafell,ES,60.98,overcast clouds,41.2,1.5683,Hostal el Castell
399,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
400,Richards Bay,ZA,68.16,light rain,-28.783,32.0377,Protea Hotel
